sec	req	sent_num	sent
2	2.3.3.1	2	For other locations local regulations shall apply.
2	2.3.3.3	1	Spare Capacity  All power supplies shall have at least 30% spare capacity with the system fully equipped and at worst working condition.
2	2.3.3.3	2	All 24 V DC distributions shall contain MCBs with necessary numbers of circuits (10% spare to be included).
2	2.3.3.3	3	Input / Output cards and individual field instruments shall generally use fused power feeds.
2	2.3.3.4	1	Other electrical sources Use of other electrical sources, e g  batteries for wireless instruments, shall be qualified for the application.
5	5.3.2.1	1	Petroleum liquid process flow measurements Metering principles which shall be considered for petroleum liquid flow measurements are:  turbine  ultrasonic  coriolis  orifice plate  v-cone Other measurement principles may be considered in special cases such as for very high turndown requirements, liquids with high viscosity or measurements on very high or very low flow rates.
5	5.3.2.2	1	Gas process flow measurements Metering principles which shall be considered for gas flow measurements are:  ultrasonic  orifice plate  v-cone  venturi In special cases (typically low flow rates) coriolis meters may also be considered.
5	5.3.2.3	1	Water liquid process flow measurements Metering principles which shall be considered for water flow measurements are:  turbine  ultrasonic (clamp-on may be considered)  coriolis  electromagnetic  orifice  v-cone Other principles may be considered for special applications such as low flow or very dirty liquids.
5	5.3.2.4	1	Chemical liquid flow measurements Metering principles which shall be considered for chemical injection liquid flow measurements are:  coriolis  positive displacement  turbine meters Other measurement principles may be considered in special cases.
5	5.3.2.5	2	The metering principle shall be chosen in conjunction with the HVAC system Supplier.
5	5.3.2.6	1	Steam Flow measurements Metering principles which shall be considered for steam flow measurements are:  Vortex  Orifice plate  Ultrasonic  Variable area  Annubar  Coriolis
5	5.6.2.1	1	General Detector characteristics and calibration (pre-set sensitivity) shall ensure detection of a fire condition at an early stage.
5	5.6.2.1	2	The detector shall be capable of operating under the conditions at the time that fire detection is needed.
5	5.6.2.1	4	Maximum response time of the fire detection function shall be evaluated and defined according to safety criticality.
5	5.6.2.2	1	Flame detectors Where flame is predominating and according to flame wave radiation characteristic, flame detectors shall be of the multispectrum IR, or combination UV/IR, type.
5	5.6.2.2	3	The sensitivity setting of the flame detector shall be determined according to distance from detector to fire object.
5	5.6.2.2	4	Low sensitivity setting shall not be used.
5	5.6.2.4	3	Smoke detectors shall not be sensitive to water vapour.
5	5.6.2.4	5	Early warning sensors shall have higher sensitivity (0.4 % to 0.8 % light obscuring per metre) than the normal recommendation.
5	5.8.1.1	1	Sand detectors and erosion probes  As a minimum the acoustic sand detectors shall have possibilities for filtering of acoustic noise from other sources than the sand production.
5	5.8.1.1	3	Provision shall be made for online calibration of sand detectors via sand injection upstream of detectors.
5	5.8.1.1	4	Increasing erosion readings shall not be caused by mechanical failures or impacts.
5	5.8.3.1	2	To ensure that the sample under analysis is representative for the property to be measured and at conditions suited for the correct operation of the analyser, a careful study of the overall sampling system shall be carried out.
5	5.8.3.1	3	The study shall include recommendations as specified by the analyser Supplier.
5	5.8.3.2	1	Sample Tapping Samples that are taken from the process stream shall have the same composition as the average composition of the process over the whole cross section of the pipeline, at the location and time of sampling.
5	5.8.3.2	6	For projects in North-America the requirements for sample tapping shall follow the recommendations in API MPMS Ch 14.1 for Natural Gas and API MPMS Ch 8.2 for liquid applications.
5	5.8.3.2	7	Inline analyzers shall be installed/positioned according to the same requirements as sample probes.
5	5.8.3.2	8	An ASTM type nozzle shall be used for obtaining steam samples and may be used for liquids.
5	5.8.3.2	13	Lines that are operating at or near the gas stream dewpoint shall have a special probe designed to overcome the problems of condensation and liquid.
5	5.8.3.2	14	Where required, sample take-off and return probes shall be included.
5	5.8.3.2	16	Each sample probe shall be fitted with a set of double block and bleed isolation valves.
5	5.8.3.2	17	The design of the probe shall take into account the possibility of resonant vibration being induced in the probe by high flow velocities in the pipeline.
5	5.8.3.2	18	Sampling devices shall not be installed in horizontal pipelines where contaminants are likely to be in suspension.
5	5.8.3.2	19	Mixing equipment shall be considered for installation upstream of the sampling probe, whenever required in order to achieve a representative sample.
5	5.8.3.3	1	Manual sample point for laboratory Provision for manual sampling shall be accommodated, where required for back-up and calibration of online analysers.
5	5.8.3.3	2	This manual sample point shall be located as close as possible to the sample point for the online analyser.
